"vintage","target_year","h","forecast","rlz","e"
1981 Q3,1981,19.5,2.11558917385652,1.95012409880629,-0.165465075050233
1981 Q3,1982,71.5,2.71164021164021,-1.80683803344148,-4.5184782450817
1981 Q4,1981,6.5,1.84544211255002,1.95012409880629,0.104681986256265
1981 Q4,1982,58.5,0.431034482758621,-1.80683803344148,-2.2378725162001
1982 Q1,1982,45.5,-0.268291875062102,-1.80683803344148,-1.53854615837938
1982 Q1,1983,97.5,3.4207904350714,3.3257594883447,-0.0950309467267045
1982 Q2,1982,32.5,-1.07598079788115,-1.80683803344148,-0.730857235560338
1982 Q2,1983,84.5,2.94511378848728,3.3257594883447,0.380645699857418
1982 Q3,1982,19.5,-1.50569836120123,-1.80683803344148,-0.301139672240252
1982 Q3,1983,71.5,3.04054054054054,3.3257594883447,0.28521894780416
1982 Q4,1982,6.5,-1.63879876882123,-1.80683803344148,-0.168039264620254
1982 Q4,1983,58.5,2.43572395128552,3.3257594883447,0.890035537059179
1983 Q1,1983,45.5,1.86550094037514,3.3257594883447,1.46025854796956
1983 Q1,1984,97.5,4.22488356620093,6.79785622363041,2.57297265742948
1983 Q2,1983,32.5,2.58320073128619,3.3257594883447,0.742558757058511
1983 Q2,1984,84.5,4.68646864686469,6.79785622363041,2.11138757676573
1983 Q3,1983,19.5,3.07161491205924,3.3257594883447,0.254144576285456
1983 Q3,1984,71.5,4.76812540822992,6.79785622363041,2.0297308154005
1983 Q4,1983,6.5,3.40823024488765,3.3257594883447,-0.0824707565429543
1983 Q4,1984,58.5,5.20833333333333,6.79785622363041,1.58952289029708
1984 Q1,1984,45.5,5.16199442915085,6.79785622363041,1.63586179447957
1984 Q1,1985,97.5,3.25278810408922,2.33605383734249,-0.916734266746727
1984 Q2,1984,32.5,5.90936477178355,6.79785622363041,0.888491451846863
1984 Q2,1985,84.5,3.13653136531365,2.33605383734249,-0.800477527971161
1984 Q3,1984,19.5,7.31913923143337,6.79785622363041,-0.521283007802955
1984 Q3,1985,71.5,3.58227079538555,2.33605383734249,-1.24621695804306
1984 Q4,1984,6.5,6.86301659960578,6.79785622363041,-0.0651603759753687
1984 Q4,1985,58.5,3.35365853658537,2.33605383734249,-1.01760469924287
1985 Q2,1985,32.5,3.09121132173303,2.33605383734249,-0.755157484390536
1985 Q2,1986,84.5,2.9585798816568,2.54799277580592,-0.410587105850885
1985 Q3,1985,19.5,2.51170451252802,2.33605383734249,-0.175650675185528
1985 Q3,1986,71.5,2.73728057125855,2.54799277580592,-0.189287795452634
1985 Q4,1985,6.5,2.42020343739039,2.33605383734249,-0.0841496000478945
1985 Q4,1986,58.5,2.91840381179273,2.54799277580592,-0.370411035986813
1986 Q2,1986,32.5,2.60432349913516,2.54799277580592,-0.0563307233292374
1986 Q2,1987,84.5,3.42615342615343,2.8647411297381,-0.561412296415326
1986 Q3,1986,19.5,2.672812345283,2.54799277580592,-0.12481956947708
1986 Q3,1987,71.5,2.68948655256724,2.8647411297381,0.175254577170863
1986 Q4,1986,6.5,2.58913442161121,2.54799277580592,-0.0411416458052929
1986 Q4,1987,58.5,2.52854812398042,2.8647411297381,0.336193005757676
1987 Q1,1987,45.5,2.44728378020005,2.8647411297381,0.41745734953805
1987 Q1,1988,97.5,2.69480950484535,3.84650376917078,1.15169426432543
1987 Q2,1987,32.5,2.65445788378074,2.8647411297381,0.210283245957363
1987 Q2,1988,84.5,2.66401590457256,3.84650376917078,1.18248786459822
1987 Q3,1987,19.5,2.57860364909446,2.8647411297381,0.286137480643641
1987 Q3,1988,71.5,2.78288264636388,3.84650376917078,1.06362112280691
1987 Q4,1987,6.5,2.68632599474854,2.8647411297381,0.178415134989565
1987 Q4,1988,58.5,2.2029897718332,3.84650376917078,1.64351399733758
1988 Q1,1988,45.5,2.10426416205779,3.84650376917078,1.74223960711299
1988 Q1,1989,97.5,2.42307692307692,2.93646257827253,0.513385655195608
1988 Q2,1988,32.5,3.34855602517632,3.84650376917078,0.497947743994459
1988 Q2,1989,84.5,2.31704228918714,2.93646257827253,0.619420289085395
1988 Q3,1988,19.5,3.97712503249285,3.84650376917078,-0.130621263322071
1988 Q3,1989,71.5,2.65,2.93646257827253,0.286462578272531
1988 Q4,1988,6.5,3.87314790746036,3.84650376917078,-0.0266441382895786
1988 Q4,1989,58.5,2.85285285285285,2.93646257827253,0.0836097254196781
1989 Q1,1989,45.5,2.67899048179275,2.93646257827253,0.257472096479777
1989 Q1,1990,97.5,1.511457825451,0.925880952959198,-0.585576872491801
1989 Q2,1989,32.5,2.87723425153746,2.93646257827253,0.0592283267350679
1989 Q2,1990,84.5,1.77572366820725,0.925880952959198,-0.84984271524805
1989 Q3,1989,19.5,2.67369048802306,2.93646257827253,0.262772090249474
1989 Q3,1990,71.5,1.83930300096805,0.925880952959198,-0.913422048008856
1989 Q4,1989,6.5,2.92217473412185,2.93646257827253,0.0142878441506764
1989 Q4,1990,58.5,1.85900531144375,0.925880952959198,-0.933124358484549
1990 Q2,1990,32.5,2.02518052882731,0.925880952959198,-1.09929957586811
1990 Q2,1991,84.5,2.55439924314096,-0.74618081322449,-3.30058005636546
1990 Q3,1990,19.5,1.27012652694466,0.925880952959198,-0.34424557398546
1990 Q3,1991,71.5,1.24460431654675,-0.74618081322449,-1.99078512977124
1990 Q4,1990,6.5,1.02727250649635,0.925880952959198,-0.101391553537151
1990 Q4,1991,58.5,0.144230769230769,-0.74618081322449,-0.890411582455259
1991 Q1,1991,45.5,-0.286946635144673,-0.74618081322449,-0.459234178079818
1991 Q1,1992,97.5,2.56038997080046,2.05091240970541,-0.509477561095057
1991 Q2,1991,32.5,-0.461239634135324,-0.74618081322449,-0.284941179089167
1991 Q2,1992,84.5,2.61593484932699,2.05091240970541,-0.56502243962158
1991 Q3,1991,19.5,-0.223102873877712,-0.74618081322449,-0.523077939346779
1991 Q3,1992,71.5,2.65188042430087,2.05091240970541,-0.600968014595463
1991 Q4,1991,6.5,-0.497320961447084,-0.74618081322449,-0.248859851777406
1991 Q4,1992,58.5,2.21437895856499,2.05091240970541,-0.163466548859587
