"h_cut","rmse","h","n","mean_t","covers_2020"
"(-0.01,4.15]",0.355412803468819,2.22484472049689,115,2008.7652173913,TRUE
"(4.15,8.31]",0.522084579060048,6.6967032967033,65,2009.98461538462,TRUE
"(8.31,12.5]",0.322069202856422,10.801749271137,49,2007.32653061224,TRUE
"(12.5,16.6]",0.340058385990337,14.7605042016807,68,2011.97058823529,TRUE
"(16.6,20.8]",0.400957188072077,17.4126984126984,9,2007.33333333333,FALSE
"(20.8,25]",0.658796250748287,23.4571428571429,40,2005.575,FALSE
"(25,29.1]",1.20454247772553,27.1428571428571,93,2009.55913978495,TRUE
"(29.1,33.3]",1.15048220426288,30.0996677740864,43,2012.83720930233,TRUE
"(33.3,37.4]",1.08222407810207,35.7334754797441,67,2007.34328358209,TRUE
"(37.4,41.6]",0.989088583704763,39.622641509434,53,2013.05660377358,TRUE
"(41.6,45.8]",1.64065903495075,42.8768472906404,29,2013.55172413793,TRUE
"(45.8,49.9]",1.60466103493449,48.3862433862434,27,2012.51851851852,TRUE
"(49.9,54.1]",1.67459134250227,52.5205479452055,73,2004.97260273973,TRUE
"(54.1,58.2]",1.83583210508812,55.3855421686747,83,2011.74698795181,TRUE
"(58.2,62.4]",1.94941828930239,59.8928571428571,60,2007.43333333333,TRUE
"(62.4,66.6]",2.20799580039126,64.2,55,2010.25454545455,TRUE
"(66.6,70.7]",2.3263856543501,67.854103343465,47,2012.91489361702,TRUE
"(70.7,74.9]",2.00583467097184,74.2077922077922,11,2000.63636363636,FALSE
"(74.9,79]",2.41721534001421,77.3265306122449,70,2007.8,TRUE
"(79,83.2]",2.45789891435159,80.9825783972125,82,2012.67073170732,TRUE
"(83.2,87.4]",2.40325115812565,86.1244239631336,31,2008.77419354839,TRUE
"(87.4,91.5]",2.6064987462659,89.5408163265306,56,2010.48214285714,TRUE
"(91.5,95.7]",2.81688637278988,93.8006644518272,43,2016.16279069767,TRUE
"(95.7,99.8]",2.28667444119184,98.2142857142857,10,2017.9,TRUE
"(99.8,104]",2.33909170405951,102.270408163265,28,2011.89285714286,TRUE
