"origin_year","origin_month","target_year","horizon","institution","forecast","truth_preliminary"
"2000","October",2002,26,"European Commission",2.8,0.2
"2001","April",2002,21,"European Commission",2.6,0.2
"2001","November",2002,13.5,"European Commission",0.7,0.2
"2001","November",2003,25.5,"European Commission",2.8,-0.1
"2002","April",2002,8.5,"European Commission",0.8,0.2
"2002","April",2003,20.5,"European Commission",2.7,-0.1
"2002","November",2002,2,"European Commission",0.4,0.2
"2002","November",2003,14,"European Commission",1.4,-0.1
"2002","November",2004,26,"European Commission",2.3,1.6
"2003","March",2003,9,"European Commission",0.4,-0.1
"2003","March",2004,21,"European Commission",2,1.6
"2003","October",2003,2.5,"European Commission",0,-0.1
"2003","October",2004,14.5,"European Commission",1.6,1.6
"2003","October",2005,26.5,"European Commission",1.8,1
"2004","March",2004,9,"European Commission",1.5,1.6
"2004","March",2005,21,"European Commission",1.8,1
"2004","October",2004,2.5,"European Commission",1.9,1.6
"2004","October",2005,14.5,"European Commission",1.5,1
"2004","October",2006,26.5,"European Commission",1.7,2.8
"2005","March",2005,9.5,"European Commission",0.8,1
"2005","March",2006,21.5,"European Commission",1.6,2.8
"2005","November",2005,2,"European Commission",0.8,1
"2005","November",2006,14,"European Commission",1.2,2.8
"2005","November",2007,26,"European Commission",1.6,2.5
"2006","April",2006,8,"European Commission",1.7,2.8
"2006","April",2007,20,"European Commission",1,2.5
"2006","October",2006,2,"European Commission",2.4,2.8
"2006","October",2007,14,"European Commission",1.2,2.5
"2006","October",2008,26,"European Commission",2,1.3
"2007","February",2007,10.5,"European Commission",1.8,2.5
"2007","April",2007,8,"European Commission",2.5,2.5
"2007","April",2008,20,"European Commission",2.4,1.3
"2007","September",2007,4,"European Commission",2.4,2.5
"2007","October",2007,2,"European Commission",2.5,2.5
"2007","October",2008,14,"European Commission",2.1,1.3
"2007","October",2009,26,"European Commission",2.2,-4.9
"2008","February",2008,10.5,"European Commission",1.6,1.3
"2008","April",2008,8.5,"European Commission",1.8,1.3
"2008","April",2009,20.5,"European Commission",1.5,-4.9
"2008","September",2008,4,"European Commission",1.8,1.3
"2008","October",2008,2.5,"European Commission",1.7,1.3
"2008","October",2009,14.5,"European Commission",0,-4.9
"2008","October",2010,26.5,"European Commission",1,3.6
"2009","April",2009,8.5,"European Commission",-5.4,-4.9
"2009","April",2010,20.5,"European Commission",0.3,3.6
"2009","September",2009,4,"European Commission",-5.1,-4.9
"2009","October",2009,2.5,"European Commission",-5,-4.9
"2009","October",2010,14.5,"European Commission",1.2,3.6
"2009","October",2011,26.5,"European Commission",1.7,3
"2010","February",2010,10.5,"European Commission",1.2,3.6
"2010","April",2010,8.5,"European Commission",1.2,3.6
"2010","April",2011,20.5,"European Commission",1.6,3
"2010","September",2010,4,"European Commission",3.4,3.6
"2010","November",2010,1.5,"European Commission",3.7,3.6
"2010","November",2011,13.5,"European Commission",2.2,3
"2010","November",2012,25.5,"European Commission",2,0.7
"2011","February",2011,10.5,"European Commission",2.4,3
"2011","May",2011,8,"European Commission",2.6,3
"2011","May",2012,20,"European Commission",1.9,0.7
"2011","October",2011,2,"European Commission",2.9,3
"2011","October",2012,14,"European Commission",0.8,0.7
"2011","October",2013,26,"European Commission",1.5,0.4
"2012","April",2012,8,"European Commission",0.7,0.7
"2012","April",2013,20,"European Commission",1.7,0.4
"2012","October",2012,2.5,"European Commission",0.8,0.7
"2012","October",2013,14.5,"European Commission",0.8,0.4
"2012","October",2014,26.5,"European Commission",2,1.6
"2013","February",2013,10.5,"European Commission",0.5,0.4
"2013","February",2014,22.5,"European Commission",2,1.6
"2013","April",2013,8,"European Commission",0.4,0.4
"2013","April",2014,20,"European Commission",1.8,1.6
"2013","November",2013,2,"European Commission",0.5,0.4
"2013","November",2014,14,"European Commission",1.7,1.6
"2013","November",2015,26,"European Commission",1.9,1.7
"2014","February",2014,10.5,"European Commission",1.8,1.6
"2014","February",2015,22.5,"European Commission",2,1.7
"2014","April",2014,8,"European Commission",1.8,1.6
"2014","April",2015,20,"European Commission",2,1.7
"2014","October",2014,2.5,"European Commission",1.3,1.6
"2014","October",2015,14.5,"European Commission",1.1,1.7
"2014","October",2016,26.5,"European Commission",1.8,1.9
"2015","January",2015,11.5,"European Commission",1.5,1.7
"2015","January",2016,23.5,"European Commission",2,1.9
"2015","April",2015,8.5,"European Commission",1.9,1.7
"2015","April",2016,20.5,"European Commission",2,1.9
"2015","October",2015,2.5,"European Commission",1.7,1.7
"2015","October",2016,14.5,"European Commission",1.9,1.9
"2015","October",2017,26.5,"European Commission",1.9,2.2
"2016","January",2016,11.5,"European Commission",1.8,1.9
"2016","January",2017,23.5,"European Commission",1.8,2.2
"2016","April",2016,8.5,"European Commission",1.6,1.9
"2016","April",2017,20.5,"European Commission",1.6,2.2
"2016","October",2016,2,"European Commission",1.9,1.9
"2016","October",2017,14,"European Commission",1.5,2.2
"2016","October",2018,26,"European Commission",1.7,1.4
"2017","February",2017,11,"European Commission",1.6,2.2
"2017","February",2018,23,"European Commission",1.8,1.4
"2017","April",2017,8,"European Commission",1.6,2.2
"2017","April",2018,20,"European Commission",1.9,1.4
"2017","October",2017,2.5,"European Commission",2.2,2.2
"2017","October",2018,14.5,"European Commission",2.1,1.4
"2017","October",2019,26.5,"European Commission",2,0.6
"2018","January",2018,11,"European Commission",2.3,1.4
"2018","January",2019,23,"European Commission",2.1,0.6
"2018","April",2018,8,"European Commission",2.3,1.4
"2018","April",2019,20,"European Commission",2.1,0.6
"2018","July",2018,6,"European Commission",1.9,1.4
"2018","July",2019,18,"European Commission",1.9,0.6
"2018","October",2018,2.5,"European Commission",1.7,1.4
"2018","October",2019,14.5,"European Commission",1.8,0.6
"2018","October",2020,26.5,"European Commission",1.7,-4.8
"2019","February",2019,11,"European Commission",1.1,0.6
"2019","February",2020,23,"European Commission",1.7,-4.8
"2019","April",2019,8,"European Commission",0.5,0.6
"2019","April",2020,20,"European Commission",1.5,-4.8
