"vintage","target_year","h","forecast","rlz","e"
1981 Q3,1981,4.5,8.81116752127597,9.22152093205503,0.410353410779067
1981 Q3,1982,16.5,8.00518134715025,5.94565420723866,-2.05952713991159
1981 Q4,1981,1.5,9.1494405809276,9.22152093205503,0.0720803511274344
1981 Q4,1982,13.5,7.8512396694215,5.94565420723866,-1.90558546218284
1982 Q1,1982,10.5,7.43939004385515,5.94565420723866,-1.49373583661649
1982 Q1,1983,22.5,7.21153846153846,4.20525438682245,-3.00628407471601
1982 Q2,1982,7.5,6.3863559111403,5.94565420723866,-0.440701703901636
1982 Q2,1983,19.5,6.25909752547307,4.20525438682245,-2.05384313865062
1982 Q3,1982,4.5,6.38337319939428,5.94565420723866,-0.437718992155623
1982 Q3,1983,16.5,5.91346153846154,4.20525438682245,-1.70820715163909
1982 Q4,1982,1.5,6.02535223189633,5.94565420723866,-0.0796980246576675
1982 Q4,1983,13.5,5.28219971056439,4.20525438682245,-1.07694532374194
1983 Q1,1983,10.5,4.57305648899461,4.20525438682245,-0.367802102172161
1983 Q1,1984,22.5,5.28380249192433,3.76688501123306,-1.51691748069126
1983 Q2,1983,7.5,4.70967865738923,4.20525438682245,-0.504424270566771
1983 Q2,1984,19.5,5.09451360073766,3.76688501123306,-1.3276285895046
1983 Q3,1983,4.5,4.50238773696865,4.20525438682245,-0.297133350146195
1983 Q3,1984,16.5,4.83348751156338,3.76688501123306,-1.06660250033031
1983 Q4,1983,1.5,4.26070783933459,4.20525438682245,-0.0554534525121326
1983 Q4,1984,13.5,4.84469170143719,3.76688501123306,-1.07780669020413
1984 Q1,1984,10.5,4.36574674445548,3.76688501123306,-0.59886173322242
1984 Q1,1985,22.5,5.11111111111111,3.36041255588371,-1.7506985552274
1984 Q2,1984,7.5,4.25109043277654,3.76688501123306,-0.484205421543482
1984 Q2,1985,19.5,5.45050055617353,3.36041255588371,-2.09008800028981
1984 Q3,1984,4.5,3.80772301591394,3.76688501123306,-0.0408380046808752
1984 Q3,1985,16.5,4.51901565995525,3.36041255588371,-1.15860310407154
1984 Q4,1984,1.5,3.80772301591394,3.76688501123306,-0.0408380046808752
1984 Q4,1985,13.5,4.27293064876958,3.36041255588371,-0.912518092885865
1985 Q2,1985,7.5,3.97826527505285,3.36041255588371,-0.617852719169133
1985 Q2,1986,19.5,4.08953938872148,2.63493183039531,-1.45460755832617
1985 Q3,1985,4.5,3.75446358483534,3.36041255588371,-0.394051028951628
1985 Q3,1986,16.5,3.96893874029335,2.63493183039531,-1.33400690989804
1985 Q4,1985,1.5,3.66494290874833,3.36041255588371,-0.304530352864618
1985 Q4,1986,13.5,3.45423143350604,2.63493183039531,-0.819299603110736
